ax,ay,az
-7712,158,-1766
-7688,194,-1738
-7700,146,-1660
-7604,122,-1706
-7638,126,-1610
-7624,102,-1650
-7584,128,-1676
-7620,64,-1746
-7704,126,-1752
-7704,114,-1660
-7652,132,-1514
-7658,174,-1530
-7638,166,-1562
-7620,100,-1568
-7664,204,-1626
-7718,118,-1612
-7676,136,-1602
-7630,138,-1660
-7638,108,-1498
-7734,150,-1520
-7694,150,-1482
-7702,148,-1568
-7676,188,-1682
-7676,158,-1516
-7674,146,-1486
-7646,158,-1546
-7646,156,-1500
-7670,182,-1584
-7670,168,-1476
-7654,136,-1510
-7656,186,-1726
-7698,152,-1466
-7688,136,-1646
-7740,114,-1548
-7648,184,-1598
-7694,106,-1504
-7734,132,-1544
-7694,162,-1550
-7680,116,-1620
-7704,122,-1578
-7702,136,-1514
-7666,158,-1530
-7700,120,-1560
-7680,142,-1540
-7674,140,-1568
-7672,164,-1414
-7676,156,-1470
-7644,168,-1544
-7694,160,-1574
-7704,176,-1560
-7646,134,-1484
-7674,142,-1554
-7644,172,-1548
-7692,166,-1612
-7670,136,-1570
-7656,130,-1512
-7698,150,-1570
-7698,152,-1502
-7658,122,-1550
-7702,178,-1434
-7666,182,-1514
-7700,164,-1488
-7664,134,-1442
-7600,168,-1510
-7706,160,-1550
-7740,138,-1530
-7646,118,-1546
-7648,128,-1472
-7670,142,-1500
-7700,174,-1584
-7658,138,-1572
-7616,164,-1488
-7686,216,-1414
-7652,126,-1468
-7618,146,-1418
-7686,188,-1530
-7622,162,-1440
-7620,164,-1516
-7700,194,-1550
-7614,174,-1492
-7700,152,-1486
-7644,176,-1410
-7658,108,-1490
-7696,98,-1484
-7718,170,-1542
-7658,196,-1490
-7636,148,-1432
-7684,136,-1454
-7692,162,-1456
-7600,178,-1472
-7670,218,-1558
-7696,152,-1562
-7642,180,-1428
-7670,170,-1412
-7602,152,-1398
-7620,174,-1426
-7642,170,-1416
-7648,182,-1534
-7698,156,-1492
-7660,174,-1458
-7660,174,-1384
-7586,184,-1472
-7724,212,-1528
-7634,212,-1498
-7716,180,-1436
-7644,202,-1456
-7644,168,-1496
-7672,180,-1486
-7720,208,-1512
-7694,206,-1450
-7672,200,-1424
-7670,176,-1476
-7588,176,-1440
-7706,154,-1508
-7670,196,-1438
-7696,172,-1566
-7682,140,-1542
-7654,168,-1468
-7690,188,-1354
-7676,190,-1354
-7650,202,-1426
