ax,ay,az
1580,-482,6942
1580,-446,6946
1648,-476,6878
1602,-488,6850
1572,-530,6976
1502,-572,7000
1550,-550,6978
1712,-546,6816
1724,-588,6854
1770,-620,6816
1676,-522,6878
1594,-528,6828
1478,-536,6912
1594,-508,7014
1652,-528,6946
1590,-590,6758
1616,-496,6770
1588,-468,6896
1646,-498,6894
1668,-538,6940
1576,-514,7046
1676,-552,6988
1588,-542,6894
1538,-500,6860
1674,-570,6924
1778,-586,6838
1532,-482,6792
1536,-534,6792
1606,-510,6582
1706,-436,6644
1758,-500,6600
1806,-554,6500
1794,-448,6470
1782,-468,6640
1646,-514,6654
1622,-568,6720
1504,-512,6886
1316,-468,7136
1128,-304,7146
-9398,2188,32767
-1562,560,15852
2446,1294,5984
5938,462,-6088
5870,-2470,-2880
3456,-2522,308
1644,-1644,2974
2036,-568,4210
2128,632,6386
1360,1240,9258
1066,736,11850
266,-182,10134
642,-1024,8454
1534,-1192,7310
2310,-898,6694
2890,-738,5960
3088,-578,5548
2870,-590,5446
2284,-658,6168
1766,-548,7054
1496,-506,7448
1406,-584,7522
1448,-642,7328
1576,-626,7056
1784,-670,6786
1858,-704,6724
1922,-644,6678
1722,-566,6692
1682,-586,6862
1644,-690,7046
1764,-794,7022
1936,-810,6838
2032,-746,6594
1986,-688,6580
1944,-638,6856
1848,-566,7044
1798,-690,6870
1958,-688,6734
2022,-618,6660
2036,-698,6780
2132,-736,6770
2012,-718,6792
1916,-728,6784
2106,-704,6782
2082,-664,6742
2000,-564,6750
1942,-544,6788
1970,-676,7000
1934,-796,6984
1770,-744,7074
1538,-648,7086
1428,-600,7024
1382,-492,7008
1452,-534,6868
1366,-534,6988
1110,-516,6998
1236,-466,7108
1368,-586,6940
1466,-606,6912
1534,-592,7000
1532,-638,6948
1560,-754,6942
1698,-730,7110
1616,-660,7224
1716,-776,7288
1610,-800,7240
812,1556,2148
4958,-1992,8254
918,-1044,9632
-1640,-870,8494
-1496,-534,7032
782,-94,6974
1944,6,7080
2574,-454,7048
1998,-908,6600
1484,-968,6634
1346,-694,6970
1260,-550,7166
1038,-536,6998
1142,-596,7018
1248,-708,6824
1332,-786,6826
1246,-782,6890
1188,-862,6832
1250,-750,6730
1388,-712,6688
1410,-708,6544
1338,-728,6718
1210,-740,6916
1162,-686,7170
1276,-750,7072
1422,-714,6894
1392,-632,6864
1212,-606,7092
1228,-510,6992
1360,-572,7022
1370,-654,6970
1294,-746,7114
1196,-686,7044
1306,-666,6874
1336,-588,6788
1288,-608,6844
1172,-700,6984
1344,-690,7100
1412,-712,6864
1398,-668,6846
1330,-610,6870
1354,-538,6960
1348,-428,6966
1344,-630,6884
1318,-600,6942
1352,-556,6936
1302,-598,6860
1300,-742,6894
1230,-626,6960
1184,-610,7030
1256,-584,7058
1196,-630,7042
1190,-652,6986
1200,-644,7066
1220,-662,7102
1216,-616,7006
1156,-460,6942
1422,-438,6788
1464,-562,6792
1578,-494,6694
1818,-474,6692
2052,-644,6798
2224,-892,6980
2204,-1038,7086
1964,-776,7014
1942,-688,7136
-18358,-4800,-10024
220,7954,18902
20638,1880,14636
6330,-620,8620
1378,-1992,4736
-432,-2716,5298
-2172,-1050,6022
464,-190,8478
2476,-204,9274
2002,-496,7070
1886,-744,5836
2178,-298,6062
2008,-392,6676
1310,-708,7102
798,-700,7186
722,-508,7120
1046,-342,6882
1430,-578,6526
1504,-724,6500
1558,-770,6850
1386,-878,7140
1404,-768,7132
1536,-758,7036
1522,-762,6836
1442,-632,6776
1342,-568,6952
1328,-558,7054
1226,-550,7042
1212,-506,6966
1274,-480,6664
1434,-430,6692
1564,-424,6690
1570,-444,6904
1250,-730,7056
1240,-730,7336
1292,-648,7262
1380,-544,6740
1596,-274,6442
1628,-232,6524
1416,-346,7030
1496,-254,7018
1874,-122,6784
1806,-310,6754
1598,-438,6850
1084,-338,6990
700,-108,7176
702,-26,7390
642,-136,7296
-836,-598,7224
-670,-276,7522
132,-18,7508
708,56,7150
418,146,6702
-98,-242,6256
-304,-72,6188
-92,194,6866
-348,688,7290
-212,500,6460
442,-160,5836
-102,658,6834
-1860,1036,8332
-130,1220,7818
122,544,6790
-1036,872,7518
-986,2408,7736
950,-572,7190
1418,-560,6280
290,40,6824
-742,-18,7188
-1054,-272,6558
-1092,-752,7940
-894,-704,7862
-278,-612,8098
114,-568,7212
-342,-888,7576
-110,-944,7898
-42,-1202,7566
356,-1128,6624
434,-816,6802
492,-1116,6472
578,-1170,6584
870,-1190,6530
1270,-1180,6560
1588,-1426,6610
1504,-1454,6850
1326,-1534,6662
1232,-1384,6592
1132,-1360,6450
1318,-1456,6252
1556,-1362,6190
1612,-1380,5972
1564,-1286,5638
1256,-1308,5512
1166,-1296,5764
1254,-1480,5984
1176,-1576,6226
972,-1562,6686
862,-1590,6880
910,-1620,6950
1074,-1728,7056
1256,-1756,7190
1358,-1862,7422
1140,-1786,7584
986,-1626,7640
936,-1568,7606
970,-1542,7450
990,-1490,7300
1002,-1328,6964
854,-1268,6632
768,-1130,6548
814,-1112,6458
876,-1118,6518
946,-1170,6556
944,-1106,6396
768,-982,6458
594,-1124,6486
496,-1050,6618
422,-1116,6638
526,-1056,6740
454,-1104,6550
418,-992,6644
320,-786,6050
348,-878,6244
464,-1152,6546
488,-904,6716
578,-786,6798
430,-566,6558
318,-838,7116
140,-542,7188
146,-654,7068
48,-714,7176
240,-404,7170
714,-184,7514
386,-346,7456
-302,-516,7488
186,-342,7622
120,-302,7624
580,58,7596
218,-258,7106
-106,-238,7248
-158,-272,6812
-62,160,7486
130,106,7294
264,-148,7060
-264,-42,7216
-602,-96,7270
-188,68,7138
-246,12,7242
-68,100,7048
-108,172,6956
-82,18,6956
-102,-74,6890
-2,290,6728
-514,208,8182
26,-538,7294
72,156,7184
-184,-212,7344
-254,304,7768
-38,872,7414
-360,-462,7364
-118,138,7004
-180,-220,7214
-152,58,6616
-136,218,6652
-110,290,6340
186,-132,6246
66,-592,4530
-304,336,2690
766,-190,180
38,-1340,2148
-1674,3876,30930
-518,-438,8314
186,396,6626
308,328,6874
208,202,7252
246,24,8054
294,-56,8178
-32,50,8772
-44,-276,8358
0,-386,6606
-278,-526,5706
-308,-268,6540
-336,-284,6670
-216,-368,6402
-132,-272,6152
126,-222,6226
462,-196,6472
486,-230,6664
384,-238,6890
236,-234,7060
186,-338,7156
-52,-262,6784
-38,-352,6768
-308,-282,6816
-342,-414,7006
-170,-388,7040
-112,-270,7058
-142,-358,6950
-302,-350,6956
-170,-326,7146
-182,-294,7074
-272,-430,7034
-154,-320,7110
-134,-326,7144
-224,-358,7094
-230,-434,6986
-388,-368,6950
-316,-334,7000
-210,-342,6974
-76,-404,7126
-326,-396,6838
-348,-462,7024
-328,-352,6962
-350,-448,7016
-426,-432,7186
-478,-506,7230
-454,-520,7242
-528,-450,7204
-474,-440,7294
-552,-532,7342
-660,-560,7368
-668,-328,7248
-594,-352,6998
-342,-316,7004
-262,-246,6866
-314,-148,6744
-358,-176,6664
-502,-144,6534
-528,-84,6488
-416,206,6624
-112,-44,6328
-306,-158,6342
-456,-48,6344
-630,-162,6552
-518,-150,6512
-568,-212,6318
-628,-316,6644
-784,-190,6762
-1026,-230,6700
-1136,-238,6718
-1090,-284,6872
-1098,-236,6574
-1070,-294,6760
-1016,-312,6846
-1258,-356,7058
-1350,-348,7162
-1384,-366,7198
-1346,-252,7246
-1314,-316,7090
-1360,-268,7022
-1564,-244,7022
-1628,-122,6834
-1632,-114,6896
-1554,-64,6774
-1694,-14,6498
-1880,60,6252
-1830,-66,5994
-1608,68,5988
-1698,-6,5898
-1428,166,5340
-1226,108,4804
-846,24,3082
682,-268,266
1394,-1744,-3836
-32768,-5676,10378
-3014,-6608,1566
1908,-2020,10734
-192,24,6890
-312,604,7658
-838,428,7278
-1410,244,5802
-2300,-1314,3822
-2986,-218,5642
-3110,-102,6658
-2784,-276,6642
-2626,-606,6318
-2546,-146,6312
-3182,-178,6324
-3414,-190,6304
